current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,,sensor,sensor.music_assistant_newest_version,Music Assistant Newest version,,,,,2.6.2,,
,,sensor,sensor.music_assistant_cpu_percent,Music Assistant CPU percent,,,,,0.06,,%
,,sensor,sensor.music_assistant_memory_percent,Music Assistant Memory percent,,,,,0.81,,%
,,sensor,sensor.nginx_proxy_manager_version,Nginx Proxy Manager Version,,,,,2.1.0,,
,,sensor,sensor.nginx_proxy_manager_newest_version,Nginx Proxy Manager Newest version,,,,,2.1.0,,
,,sensor,sensor.nginx_proxy_manager_cpu_percent,Nginx Proxy Manager CPU percent,,,,,0.01,,%
,,sensor,sensor.nginx_proxy_manager_memory_percent,Nginx Proxy Manager Memory percent,,,,,1.0,,%
,,sensor,sensor.jupyterlab_version,JupyterLab Version,,,,,0.16.1,,
,,sensor,sensor.jupyterlab_newest_version,JupyterLab Newest version,,,,,0.16.1,,
,,sensor,sensor.jupyterlab_cpu_percent,JupyterLab CPU percent,,,,,unavailable,,%
,,sensor,sensor.jupyterlab_memory_percent,JupyterLab Memory percent,,,,,unavailable,,%
,,sensor,sensor.sqlite_web_version,SQLite Web Version,,,,,4.4.1,,
,,sensor,sensor.sqlite_web_newest_version,SQLite Web Newest version,,,,,4.4.1,,
,,sensor,sensor.sqlite_web_cpu_percent,SQLite Web CPU percent,,,,,0.01,,%
,,sensor,sensor.sqlite_web_memory_percent,SQLite Web Memory percent,,,,,0.15,,%
,,sensor,sensor.get_hacs_version,Get HACS Version,,,,,1.3.1,,
,,sensor,sensor.get_hacs_newest_version,Get HACS Newest version,,,,,1.3.1,,
,,sensor,sensor.get_hacs_cpu_percent,Get HACS CPU percent,,,,,unavailable,,%
,,sensor,sensor.get_hacs_memory_percent,Get HACS Memory percent,,,,,unavailable,,%
,,sensor,sensor.duck_dns_version,Duck DNS Version,,,,,1.26.0,,
,,sensor,sensor.duck_dns_newest_version,Duck DNS Newest version,,,,,1.26.0,,
,,sensor,sensor.duck_dns_cpu_percent,Duck DNS CPU percent,,,,,unavailable,,%
,,sensor,sensor.duck_dns_memory_percent,Duck DNS Memory percent,,,,,unavailable,,%
,,sensor,sensor.dropbox_sync_version,Dropbox Sync Version,,,,,1.3.0,,
,,sensor,sensor.dropbox_sync_newest_version,Dropbox Sync Newest version,,,,,1.3.0,,
,,sensor,sensor.dropbox_sync_cpu_percent,Dropbox Sync CPU percent,,,,,0.0,,%
,,sensor,sensor.dropbox_sync_memory_percent,Dropbox Sync Memory percent,,,,,0.01,,%
,,sensor,sensor.folding_home_version,Folding@home Version,,,,,0.7.2,,
,,sensor,sensor.folding_home_newest_version,Folding@home Newest version,,,,,0.7.2,,
,,sensor,sensor.folding_home_cpu_percent,Folding@home CPU percent,,,,,89.03,,%
,,sensor,sensor.folding_home_memory_percent,Folding@home Memory percent,,,,,0.96,,%
,,sensor,sensor.home_assistant_core_cpu_percent,Home Assistant Core CPU percent,,,,,13.96,,%
,,sensor,sensor.home_assistant_core_memory_percent,Home Assistant Core Memory percent,,,,,9.54,,%
,,sensor,sensor.home_assistant_supervisor_cpu_percent,Home Assistant Supervisor CPU percent,,,,,0.12,,%
,,sensor,sensor.home_assistant_supervisor_memory_percent,Home Assistant Supervisor Memory percent,,,,,2.62,,%
